Time,Sales,livestock4_steers,livestock5_hog,livestock6_hog,corn1,corn3,wheat1,wheat2,wheat3,wheat4,hay2,dairy1,dairy2,dairy3,dairy5,dairy6,BRLCS_broilers,STRTXOK_beef_steers,FarmIncome,Non-ResidentialInvest,HOUST,RealGDP,Unemploy,Interest_US,ConsumerInflt,30YearMtggRate,ConstructionEm,ConsumerConfidenceI,livestock1_broilers_isNA,livestock2_beef_steers_isNA,livestock3_steers_isNA,livestock4_steers_isNA,livestock5_hog_isNA,livestock6_hog_isNA,wheat5_isNA,dairy1_isNA,dairy2_isNA,dairy3_isNA,dairy4_isNA,dairy5_isNA,BRLCS_broilers_isNA,STRTXOK_beef_steers_isNA,Non-ResidentialInvest_isNA
1991-11-30,247,,,,243.45,2.29,357.15,359.18,376.24,3.25,71.0,,,,,13.9,0.5,72.41,40.23,,1103.0,9016.4,7.0,7.58,1.38,8.71,4.64,52.7,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1991-12-31,522,,,,246.76,2.33,384.86,394.48,406.07,3.44,72.0,,,,,13.8,0.5,70.84,40.23,,1079.0,9016.4,7.3,7.21,1.38,8.5,4.65,52.5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-01-31,271,,,,258.03,2.4,411.41,419.11,435.0,3.54,72.3,,,,,13.4,0.5,73.92,50.71,,1176.0,9123.0,7.3,6.5,1.38,8.43,4.67,50.2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-02-29,209,,,,264.5,2.46,403.92,427.34,450.74,3.78,74.5,,,,,12.9,0.5,77.24,50.71,,1250.0,9123.0,7.4,6.5,1.39,8.76,4.61,47.3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-03-31,484,,,,267.42,2.49,370.0,394.9,432.72,3.72,72.9,,,,,12.5,0.5,78.1,50.71,,1297.0,9123.0,7.4,6.5,1.39,8.94,4.62,56.5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-04-30,413,,,,253.25,2.48,353.19,369.8,408.11,3.65,73.7,,,,,12.6,0.45,78.09,50.71,,1099.0,9223.5,7.4,6.5,1.39,8.85,4.6,65.1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-05-31,342,,,,254.86,2.49,361.86,369.89,389.66,3.64,84.0,,,,,12.8,0.54,76.29,50.71,,1214.0,9223.5,7.6,6.5,1.4,8.67,4.61,71.9,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-06-30,310,,,,255.6,2.47,364.7,358.03,391.32,3.43,80.4,,,,,13.2,0.53,73.49,50.71,,1145.0,9223.5,7.8,6.5,1.4,8.51,4.58,72.6,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-07-31,180,,,,232.36,2.33,337.53,337.28,351.74,3.15,73.7,,,,,13.4,0.57,73.01,50.71,,1139.0,9313.2,7.7,6.02,1.41,8.13,4.57,61.2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-08-31,179,,,,219.2,2.15,312.88,312.04,326.76,3.01,75.4,,,,,13.5,0.56,74.14,50.71,,1226.0,9313.2,7.6,6.0,1.41,7.98,4.58,59.0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-09-30,168,,,,221.02,2.16,327.78,333.24,356.0,3.2,73.4,,,,,13.5,0.52,75.04,50.71,,1186.0,9313.2,7.6,6.0,1.41,7.92,4.58,57.3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-10-31,498,,,,208.9,2.05,338.15,349.56,358.76,3.22,73.7,,,,,13.4,0.54,75.96,50.71,,1244.0,9406.5,7.3,6.0,1.42,8.09,4.6,54.6,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1992-11-30,342,,,,211.83,1.98,359.05,368.85,377.25,3.29,74.9,,,,,13.1,0.55,75.23,50.71,,1214.0,9406.5,7.4,6.0,1.42,8.31,4.61,65.6,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1992-12-31,323,,,,212.73,1.97,357.01,366.64,381.24,2.96,77.2,,,,,12.8,0.51,78.43,50.71,,1227.0,9406.5,7.4,6.0,1.42,8.22,4.63,78.1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1993-01-31,313,,,,217.66,2.03,375.23,376.88,396.56,3.37,79.8,,,,,12.5,0.52,79.87,46.73,,1210.0,9424.1,7.3,6.0,1.43,8.02,4.66,76.7,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1993-02-28,228,,,,212.32,2.0,365.89,368.76,374.5,3.33,82.4,,,,,12.2,0.53,81.01,46.73,,1210.0,9424.1,7.1,6.0,1.43,7.68,4.71,68.5,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1993-03-31,367,,,,219.05,2.1,358.23,380.11,373.76,3.3,84.8,,,,,12.2,0.54,82.74,46.73,,1083.0,9424.1,7.0,6.0,1.43,7.5,4.68,63.2,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1993-04-30,613,,,,228.7,2.16,372.17,352.25,359.21,3.26,86.9,,,,,12.6,0.55,81.76,46.73,,1258.0,9480.1,7.1,6.0,1.44,7.47,4.69,67.6,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1993-05-31,358,,,,225.95,2.14,352.04,331.74,350.78,3.11,95.4,,,,,12.9,0.58,80.92,46.73,,1260.0,9480.1,7.1,6.0,1.44,7.47,4.75,61.9,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1993-06-30,346,,,,218.08,2.09,281.03,283.22,332.23,2.84,88.0,,,,,13.0,0.55,77.15,46.73,,1280.0,9480.1,7.0,6.0,1.44,7.42,4.76,58.6,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1993-07-31,208,,,,236.56,2.22,301.46,302.52,337.99,2.85,84.0,,,,,12.8,0.55,74.73,46.73,,1254.0,9526.3,6.9,6.0,1.45,7.21,4.78,59.2,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
